country,year,positive,examined,long,lat,utm_x,utm_y
Malawi,2018,0,30,33.70854,-12.2971496,577.047304044893,8640.486324933436
Malawi,2018,0,30,35.07587675,-15.76328064,722.4026818637827,8256.154055293206
Malawi,2018,0,30,34.6124993,-15.2584339,673.1655836896117,8312.44833843246
Malawi,2018,0,30,34.7044782,-14.8537718,683.3917256502468,8357.147951207675
Malawi,2018,1,30,34.9349829,-15.2921034,707.7742605290188,8308.440081975921
Malawi,2018,0,25,33.98345109,-13.38434272,606.4849791886509,8520.149068662435
Malawi,2018,0,30,33.89223811,-14.30359966,596.2290863447662,8418.511531812479
Malawi,2018,0,30,33.50769653,-11.55588173,555.3568759541483,8722.506192106926
Malawi,2018,0,30,35.07714553,-15.7746668,722.5262452091442,8254.892558714506
Malawi,2018,0,28,33.7749576,-13.916172,583.7207937059856,8461.40844721903
Malawi,2018,0,29,34.71950063,-14.34556419,685.4339650320763,8413.36588574865
Malawi,2018,1,30,34.9341712,-15.0262449,707.9468846827294,8337.860967680741
Malawi,2018,1,30,33.8891091,-14.0335406,596.00506474064,8448.383623581469
Malawi,2018,0,30,33.6722457,-13.9583387,572.610877553802,8456.778464453644
Malawi,2018,0,30,33.5377209,-11.5845215,558.6247191171883,8719.333245529828
Malawi,2018,0,22,33.4086388,-13.5420237,544.215546522166,8502.885732235576
Malawi,2018,0,27,34.73862797,-14.6120903,687.2734436146384,8383.860849604567
Malawi,2018,0,29,33.7437597,-13.9242472,580.347437664357,8460.526053191623
Malawi,2018,0,30,33.6462059,-14.22722,569.7164751076551,8427.0474274275075
Malawi,2018,0,30,33.3986273,-13.9087063,543.0653213900575,8462.33427425579
Malawi,2018,0,25,33.97129438,-11.44082238,605.9518530526632,8735.099766903542
Malawi,2018,0,30,33.7926874,-14.0191256,585.5982715344036,8450.015048421681
Malawi,2018,0,30,33.8909643,-11.3730697,597.2115548104786,8742.620508231812
Malawi,2018,0,30,34.0252237,-11.4526514,611.8305544206971,8733.771258741886
Malawi,2018,0,28,33.721725,-14.0154938,577.9362514680544,8450.441271379419
Malawi,2018,0,28,33.496027,-11.9880065,554.0000543077475,8674.724029501327
Malawi,2018,0,30,35.0065999,-15.7736351,714.9670251577753,8255.08001464246
Malawi,2018,0,30,33.5237611,-12.0846749,556.9990283599808,8664.028607590659
Malawi,2018,0,30,33.6300429,-14.3383662,567.9393017931001,8414.759036864982
Malawi,2018,0,30,34.6186186,-15.1764479,673.8901679186733,8321.51479073323
Malawi,2018,0,30,35.1716807,-14.8447552,733.6884278623738,8357.709610034013
Malawi,2018,0,30,33.7359255,-13.9428484,579.4947136715836,8458.471343039382
Malawi,2018,0,28,33.7475186,-13.9178476,580.7557492566817,8461.232594421987
Malawi,2018,0,30,34.9980324,-14.8204353,715.019745456983,8360.575233085798
Malawi,2018,0,30,35.1030595,-15.8353791,725.2362865084621,8248.145588667356
Malawi,2018,0,24,33.5003565,-11.4485309,554.5772060217337,8734.378253431765
Malawi,2018,0,30,33.5049572,-11.9277304,554.9844363658506,8681.38769682175
Mali,1985,11,60,-8.082,11.426,600.1430657364482,1263.2420574852792
Mali,1985,2,98,-8.306,11.517,575.6817550104995,1273.2368670016517
